origin,ground_truth,latency,hops
RIPE,FR,37.398,16.75
RIPE,FR,23.78175,14.25
RIPE,FR,42.7655,14.5
RIPE,FR,30.45225,19.0
RIPE,FR,22.683,16.5
RIPE,FR,26.0285,14.25
RIPE,FR,23.5005,15.0
RIPE,FR,41.22875,14.5
RIPE,FR,22.5235,17.0
RIPE,FR,23.1535,17.25
RIPE,FR,36.62225,15.0
RIPE,FR,25.18775,14.0
RIPE,FR,35.65775,15.0
RIPE,FR,29.87775,15.5
RIPE,FR,25.12,19.0
RIPE,FR,42.533,16.0
RIPE,FR,23.042,15.0
RIPE,FR,31.862,14.5
RIPE,FR,29.05725,16.0
RIPE,FR,23.806,18.75
RIPE,FR,23.9525,16.75
RIPE,FR,30.8945,11.0
RIPE,FR,24.44025,15.75
RIPE,FR,24.05675,15.0
RIPE,FR,26.49275,13.25
RIPE,FM,279.097,16.5
RIPE,FM,290.11275,16.25
RIPE,GB,59.4435,22.0
RIPE,GB,11.49575,23.0
RIPE,GB,32.6755,16.0
RIPE,GB,16.0615,19.5
RIPE,GB,23.8285,15.0
